workload,size,input_length,stack,operation,sample,loops,time_us
LSTM,16,16,C++ Enzyme,primal,0,8192,3.6629871826171874
LSTM,16,16,C++ Enzyme,primal,1,8192,3.839984619140625
LSTM,16,16,C++ Enzyme,primal,2,8192,3.2899698486328126
LSTM,16,16,C++ Enzyme,primal,3,8192,4.876865478515625
LSTM,16,16,C++ Enzyme,primal,4,8192,7.06474853515625
LSTM,16,16,C++ Enzyme,primal,5,8192,5.246115966796875
LSTM,16,16,C++ Enzyme,primal,6,8192,5.136413452148438
LSTM,16,16,C++ Enzyme,primal,7,8192,3.3205694580078124
LSTM,16,16,C++ Enzyme,primal,8,8192,3.657239013671875
LSTM,16,16,C++ Enzyme,vjp,0,8192,8.647797729492188
LSTM,16,16,C++ Enzyme,vjp,1,8192,7.461136352539063
LSTM,16,16,C++ Enzyme,vjp,2,8192,9.457418090820312
LSTM,16,16,C++ Enzyme,vjp,3,8192,6.96979296875
LSTM,16,16,C++ Enzyme,vjp,4,8192,6.353283081054688
LSTM,16,16,C++ Enzyme,vjp,5,8192,6.538567626953125
LSTM,16,16,C++ Enzyme,vjp,6,8192,6.386491455078125
LSTM,16,16,C++ Enzyme,vjp,7,8192,6.72086181640625
LSTM,16,16,C++ Enzyme,vjp,8,8192,8.45382861328125
LSTM,16,16,Flang Enzyme,primal,0,16384,3.9363368530273437
LSTM,16,16,Flang Enzyme,primal,1,16384,4.739786437988281
LSTM,16,16,Flang Enzyme,primal,2,16384,5.099026123046875
LSTM,16,16,Flang Enzyme,primal,3,16384,3.2664801025390626
LSTM,16,16,Flang Enzyme,primal,4,16384,3.8636424560546874
LSTM,16,16,Flang Enzyme,primal,5,16384,3.8346962890625
LSTM,16,16,Flang Enzyme,primal,6,16384,5.183841064453125
LSTM,16,16,Flang Enzyme,primal,7,16384,3.895430847167969
LSTM,16,16,Flang Enzyme,primal,8,16384,3.2784967041015625
LSTM,16,16,Flang Enzyme,vjp,0,4096,6.033340576171875
LSTM,16,16,Flang Enzyme,vjp,1,4096,5.985895263671875
LSTM,16,16,Flang Enzyme,vjp,2,4096,6.082833251953125
LSTM,16,16,Flang Enzyme,vjp,3,4096,8.558458251953125
LSTM,16,16,Flang Enzyme,vjp,4,4096,7.02035693359375
LSTM,16,16,Flang Enzyme,vjp,5,4096,6.086788330078125
LSTM,16,16,Flang Enzyme,vjp,6,4096,6.181965576171875
LSTM,16,16,Flang Enzyme,vjp,7,4096,6.1906513671875
LSTM,16,16,Flang Enzyme,vjp,8,4096,6.089542724609375
LSTM,16,16,LFortran Enzyme,primal,0,16384,4.007907287597656
LSTM,16,16,LFortran Enzyme,primal,1,16384,3.676312438964844
LSTM,16,16,LFortran Enzyme,primal,2,16384,3.424009582519531
LSTM,16,16,LFortran Enzyme,primal,3,16384,3.256311950683594
LSTM,16,16,LFortran Enzyme,primal,4,16384,3.2794586181640626
LSTM,16,16,LFortran Enzyme,primal,5,16384,3.263248229980469
LSTM,16,16,LFortran Enzyme,primal,6,16384,4.174010070800781
LSTM,16,16,LFortran Enzyme,primal,7,16384,4.412191467285156
LSTM,16,16,LFortran Enzyme,primal,8,16384,5.178763732910157
LSTM,16,16,LFortran Enzyme,vjp,0,8192,6.137608032226563
LSTM,16,16,LFortran Enzyme,vjp,1,8192,5.979151489257813
LSTM,16,16,LFortran Enzyme,vjp,2,8192,6.091243896484375
LSTM,16,16,LFortran Enzyme,vjp,3,8192,5.989642578125
LSTM,16,16,LFortran Enzyme,vjp,4,8192,6.668571044921875
LSTM,16,16,LFortran Enzyme,vjp,5,8192,6.3298662109375
LSTM,16,16,LFortran Enzyme,vjp,6,8192,6.38970068359375
LSTM,16,16,LFortran Enzyme,vjp,7,8192,5.895714233398437
LSTM,16,16,LFortran Enzyme,vjp,8,8192,5.882379760742188
LSTM,16,16,JAX JIT,primal,0,8192,7.166483154296875
LSTM,16,16,JAX JIT,primal,1,8192,6.48045751953125
LSTM,16,16,JAX JIT,primal,2,8192,7.860909423828125
LSTM,16,16,JAX JIT,primal,3,8192,6.445453857421875
LSTM,16,16,JAX JIT,primal,4,8192,9.097700927734374
LSTM,16,16,JAX JIT,primal,5,8192,7.41573583984375
LSTM,16,16,JAX JIT,primal,6,8192,9.172391235351563
LSTM,16,16,JAX JIT,primal,7,8192,8.757950439453126
LSTM,16,16,JAX JIT,primal,8,8192,7.738090209960937
LSTM,16,16,JAX JIT,primal_startup,0,1,100723.2420379296
LSTM,16,16,JAX JIT,vjp,0,4096,10.53108935546875
LSTM,16,16,JAX JIT,vjp,1,4096,8.21251318359375
LSTM,16,16,JAX JIT,vjp,2,4096,7.781187744140625
LSTM,16,16,JAX JIT,vjp,3,4096,6.82892919921875
LSTM,16,16,JAX JIT,vjp,4,4096,7.105568603515625
LSTM,16,16,JAX JIT,vjp,5,4096,7.207097900390625
LSTM,16,16,JAX JIT,vjp,6,4096,7.233989501953125
LSTM,16,16,JAX JIT,vjp,7,4096,7.300822021484375
LSTM,16,16,JAX JIT,vjp,8,4096,6.914713623046875
LSTM,16,16,JAX JIT,vjp_startup,0,1,84103.9310907945
LSTM,64,64,C++ Enzyme,primal,0,8192,8.663413208007812
LSTM,64,64,C++ Enzyme,primal,1,8192,6.876057861328125
LSTM,64,64,C++ Enzyme,primal,2,8192,6.0170048828125
LSTM,64,64,C++ Enzyme,primal,3,8192,6.97764453125
LSTM,64,64,C++ Enzyme,primal,4,8192,7.640787719726562
LSTM,64,64,C++ Enzyme,primal,5,8192,6.244689819335938
LSTM,64,64,C++ Enzyme,primal,6,8192,7.7911356201171875
LSTM,64,64,C++ Enzyme,primal,7,8192,7.4672158203125
LSTM,64,64,C++ Enzyme,primal,8,8192,6.2350537109375
LSTM,64,64,C++ Enzyme,vjp,0,4096,14.147864013671875
LSTM,64,64,C++ Enzyme,vjp,1,4096,17.20078564453125
LSTM,64,64,C++ Enzyme,vjp,2,4096,13.97647412109375
LSTM,64,64,C++ Enzyme,vjp,3,4096,13.73653466796875
LSTM,64,64,C++ Enzyme,vjp,4,4096,12.0386962890625
LSTM,64,64,C++ Enzyme,vjp,5,4096,14.353478515625
LSTM,64,64,C++ Enzyme,vjp,6,4096,13.770593017578125
LSTM,64,64,C++ Enzyme,vjp,7,4096,15.340135498046875
LSTM,64,64,C++ Enzyme,vjp,8,4096,15.76620947265625
LSTM,64,64,Flang Enzyme,primal,0,8192,6.100401733398438
LSTM,64,64,Flang Enzyme,primal,1,8192,5.9374482421875
LSTM,64,64,Flang Enzyme,primal,2,8192,5.997722900390625
LSTM,64,64,Flang Enzyme,primal,3,8192,5.705803100585937
LSTM,64,64,Flang Enzyme,primal,4,8192,6.598463256835937
LSTM,64,64,Flang Enzyme,primal,5,8192,5.7888074951171875
LSTM,64,64,Flang Enzyme,primal,6,8192,6.871842163085938
LSTM,64,64,Flang Enzyme,primal,7,8192,6.067537109375
LSTM,64,64,Flang Enzyme,primal,8,8192,7.82366162109375
LSTM,64,64,Flang Enzyme,vjp,0,4096,11.742755126953124
LSTM,64,64,Flang Enzyme,vjp,1,4096,11.05425048828125
LSTM,64,64,Flang Enzyme,vjp,2,4096,11.0821181640625
LSTM,64,64,Flang Enzyme,vjp,3,4096,14.315626708984375
LSTM,64,64,Flang Enzyme,vjp,4,4096,13.35834130859375
LSTM,64,64,Flang Enzyme,vjp,5,4096,15.68908154296875
LSTM,64,64,Flang Enzyme,vjp,6,4096,15.6066728515625
LSTM,64,64,Flang Enzyme,vjp,7,4096,11.543334228515626
LSTM,64,64,Flang Enzyme,vjp,8,4096,11.146727294921876
LSTM,64,64,LFortran Enzyme,primal,0,8192,8.689229614257812
LSTM,64,64,LFortran Enzyme,primal,1,8192,8.53087451171875
LSTM,64,64,LFortran Enzyme,primal,2,8192,8.653891967773438
LSTM,64,64,LFortran Enzyme,primal,3,8192,6.5612666015625
LSTM,64,64,LFortran Enzyme,primal,4,8192,6.044759765625
LSTM,64,64,LFortran Enzyme,primal,5,8192,7.522725830078125
LSTM,64,64,LFortran Enzyme,primal,6,8192,6.711795654296875
LSTM,64,64,LFortran Enzyme,primal,7,8192,7.294883178710937
LSTM,64,64,LFortran Enzyme,primal,8,8192,7.624515625
LSTM,64,64,LFortran Enzyme,vjp,0,4096,11.41400341796875
LSTM,64,64,LFortran Enzyme,vjp,1,4096,11.155850830078125
